id	english_technical_name	arabic_technical_name	arabic_layperson_synonym	arabic_definition
HP:0008780	Congenital bilateral hip dislocation	خلع خلقي مزدوج لمفصل الورك	خلع خلقي مزدوج للورك	خلع خلقي في مفصل الورك على الجانبين.
HP:0008783	Wide proximal femoral metaphysis	وسع في الكردوس القريب لعظم الفخذ	وسع في الجزء القريب من عظم الفخذ	زيادة في عرض الجزء القريب من العمود (الكردوس) لعظم الفخذ.
HP:0008784	Wide capital femoral epiphyses	وسع في رأس مشاشة عظم الفخذ	وسع في نهاية عظم الفخذ	شذوذ واسع في شكل المشاشة القريبة لعظم الفخذ.
HP:0008785	Delayed ossification of pubic rami	تأخر التعظم في فروع العانة	تأخر تصلب عظم العانة	تأخر في نضوج وتكلس الفروع (الفروع) في عظم العانة.
HP:0008786	Iliac crest serration	تعرجات قمة الحرقفة	مظهر متعرج لقمة الحرقفة	عدم انتظام في قمة الحرقفة ينتج عنه شكل محيط يشبه الدانتيل.
HP:0008788	Delayed pubic bone ossification	تأخر التعظم في عظم العانة	تأخر تكلس عظم العانة	تأخر في نضوج وتكلس عظم العانة.
HP:0008789	Cone-shaped capital femoral epiphysis	شكل مخروطي في رأس مشاشة عظم الفخذ	شكل مخروطي لنهاية عظم الفخذ	تشوه ذو شكل مخروطي في المشاشة القريبة لعظم الفخذ.
HP:0008762	Repetitive compulsive behavior	سلوك قهري متكرر	سلوك قهري متكرر	يشير إلى السلوك القهري الذي يتكرر بصورة متكررة.
HP:0008763	No social interaction	عدم التفاعل الاجتماعي	عدم التفاعل الاجتماعي	عدم المشاركة المتعمدة في التفاعلات مع الآخرين.
HP:0008765	Auditory hallucination	هلوسة سمعية	سماع أصوات غير موجودة	إدراك الأصوات دون وجود محفز سمعي.
HP:0008767	Self-mutilation of tongue and lips due to involuntary movements	تشويه ذاتي للسان والشفاه بسبب حركات غير إرادية	إصابة اللسان والشفاه بسبب حركات غير إرادية	تؤدي الحركات غير المسيطر عليها إلى تلف الأنسجة في اللسان والشفاه.
HP:0008770	Obsessive-compulsive trait	سمة الوسواس القهري	صفات الوسواس القهري	وجود واحدة أو أكثر من سمات الشخصية الوسواسية القهرية. تشير الوساوس إلى الأفكار المزعجة التي تتكرر، بينما تشير السلوكيات القهرية إلى سلوكيات متطفلة، حيث يختبرها الشخص المتأثر بأنها لا إرادية أو عبثية أو منفرة.
HP:0008750	Laryngeal atresia	رتق في الحنجرة	انسداد خلقي في الحنجرة	غياب خلقي للفتحة في الحنجرة. رتق الحنجرة حالة نادرة. إذا فشلت فتحة الحنجرة في التطور، لا يمكن طرد السوائل التي تفرزها الرئتين. في الجنين المصاب برتق الحنجرة، تكون الرئتان إما طبيعيتي الحجم أو حجمهما زائد، وليس بحجم ناقص. نسبة الوفاة تقارب 100%. الفحص بالأشعة فوق الصوتية للجنين يظهر القصبة الهوائية متوسعة ومليئة بالسوائل المحبوسة. يظهر الصدر الجنيني رئتين واسعتين وزيادة الحجم مع الشعب الهوائية مليئة بالسوائل. عادة ما يكون هناك استسقاء في الجنين.
HP:0008751	Laryngeal cleft	شق في الحنجرة	شق في الحنجرة	وجود فجوة في الجدار الخلفي للحنجرة والقصبة الهوائية مع وجود تواصل بين الحنجرة والمريء.
HP:0008752	Laryngeal cartilage malformation	تشوه غضاريف الحنجرة	خلل في تشكيل غضاريف الحنجرة	تشوه في غضاريف الحنجرة.
