source_language	source_value	subject_id	predicate_id	translation_language	translation_value	translation_status	translator	translator_expertise	translation_date	comment
en	All	HP:0000001	rdfs:label	ru	Все	OFFICIAL		DOMAIN_EXPERT	2018-02-01	Originally translated by Alex Raktiko and Artur Latypov on Crowdin
en	Abnormality of body height	HP:0000002	rdfs:label	ru	аномалии роста	OFFICIAL		DOMAIN_EXPERT	2018-02-01	Originally translated by Alex Raktiko and Artur Latypov on Crowdin
en	Multicystic kidney dysplasia	HP:0000003	rdfs:label	ru	Поликистозная дисплазия почек	OFFICIAL		DOMAIN_EXPERT	2018-02-01	Originally translated by Alex Raktiko and Artur Latypov on Crowdin
en	Mode of inheritance	HP:0000005	rdfs:label	ru	тип наследования	OFFICIAL		DOMAIN_EXPERT	2018-02-01	Originally translated by Alex Raktiko and Artur Latypov on Crowdin
en	Autosomal dominant inheritance	HP:0000006	rdfs:label	ru	Аутосомно-доминантное наследование	OFFICIAL		DOMAIN_EXPERT	2018-02-01	Originally translated by Alex Raktiko and Artur Latypov on Crowdin
en	Autosomal recessive inheritance	HP:0000007	rdfs:label	ru	Аутосомно-рецессивное наследование	OFFICIAL		DOMAIN_EXPERT	2018-02-01	Originally translated by Alex Raktiko and Artur Latypov on Crowdin
en	Abnormal morphology of female internal genitalia	HP:0000008	rdfs:label	ru	Аномалии строения женских внутренних половых органов	OFFICIAL		DOMAIN_EXPERT	2018-02-01	Originally translated by Alex Raktiko and Artur Latypov on Crowdin
en	Functional abnormality of the bladder	HP:0000009	rdfs:label	ru	Дисфункция мочевого пузыря	OFFICIAL		DOMAIN_EXPERT	2018-02-01	Originally translated by Alex Raktiko and Artur Latypov on Crowdin
en	Recurrent urinary tract infections	HP:0000010	rdfs:label	ru	Рецидивирующие (рекуррентные) инфекции мочевыводящих путей	OFFICIAL		DOMAIN_EXPERT	2018-02-01	Originally translated by Alex Raktiko and Artur Latypov on Crowdin
en	Neurogenic bladder	HP:0000011	rdfs:label	ru	Нейрогенный мочевой пузырь	OFFICIAL		DOMAIN_EXPERT	2018-02-01	Originally translated by Alex Raktiko and Artur Latypov on Crowdin
en	Urinary urgency	HP:0000012	rdfs:label	ru	позывы к мочеиспусканию внезапные	OFFICIAL		DOMAIN_EXPERT	2018-02-01	Originally translated by Alex Raktiko and Artur Latypov on Crowdin
en	Hypoplasia of the uterus	HP:0000013	rdfs:label	ru	Гипоплазия матки	OFFICIAL		DOMAIN_EXPERT	2018-02-01	Originally translated by Alex Raktiko and Artur Latypov on Crowdin
en	Abnormality of the bladder	HP:0000014	rdfs:label	ru	Аномалии мочевого пузыря	OFFICIAL		DOMAIN_EXPERT	2018-02-01	Originally translated by Alex Raktiko and Artur Latypov on Crowdin
en	Bladder diverticulum	HP:0000015	rdfs:label	ru	Дивертикул мочевого пузыря	OFFICIAL		DOMAIN_EXPERT	2018-02-01	Originally translated by Alex Raktiko and Artur Latypov on Crowdin
en	Urinary retention	HP:0000016	rdfs:label	ru	Задержка мочи	OFFICIAL		DOMAIN_EXPERT	2018-02-01	Originally translated by Alex Raktiko and Artur Latypov on Crowdin
en	Nocturia	HP:0000017	rdfs:label	ru	Никтурия	OFFICIAL		DOMAIN_EXPERT	2018-02-01	Originally translated by Alex Raktiko and Artur Latypov on Crowdin
en	Urinary hesitancy	HP:0000019	rdfs:label	ru	затруднённое начало мочеиспускания	OFFICIAL		DOMAIN_EXPERT	2018-02-01	Originally translated by Alex Raktiko and Artur Latypov on Crowdin
en	Urinary incontinence	HP:0000020	rdfs:label	ru	Неудержание мочи, непроизвольное мочеиспускание; энурез	OFFICIAL		DOMAIN_EXPERT	2018-02-01	Originally translated by Alex Raktiko and Artur Latypov on Crowdin
en	Megacystis	HP:0000021	rdfs:label	ru	Мегацистис (чрезмерно увеличенный в объеме мочевой пузырь)	OFFICIAL		DOMAIN_EXPERT	2018-02-01	Originally translated by Alex Raktiko and Artur Latypov on Crowdin
en	Abnormal male internal genitalia morphology	HP:0000022	rdfs:label	ru	Аномалии строения мужских внутренних половых органов	OFFICIAL		DOMAIN_EXPERT	2018-02-01	Originally translated by Alex Raktiko and Artur Latypov on Crowdin
en	Inguinal hernia	HP:0000023	rdfs:label	ru	Паховая грыжа	OFFICIAL		DOMAIN_EXPERT	2018-02-01	Originally translated by Alex Raktiko and Artur Latypov on Crowdin
en	Prostatitis	HP:0000024	rdfs:label	ru	Простатит	OFFICIAL		DOMAIN_EXPERT	2018-02-01	Originally translated by Alex Raktiko and Artur Latypov on Crowdin
en	Functional abnormality of male internal genitalia	HP:0000025	rdfs:label	ru	Функциональные аномалии мужских внутренних половых органов	OFFICIAL		DOMAIN_EXPERT	2018-02-01	Originally translated by Alex Raktiko and Artur Latypov on Crowdin
en	Male hypogonadism	HP:0000026	rdfs:label	ru	Мужской гипогонадизм	OFFICIAL		DOMAIN_EXPERT	2018-02-01	Originally translated by Alex Raktiko and Artur Latypov on Crowdin
en	Azoospermia	HP:0000027	rdfs:label	ru	Азооспермия	OFFICIAL		DOMAIN_EXPERT	2018-02-01	Originally translated by Alex Raktiko and Artur Latypov on Crowdin
en	Cryptorchidism	HP:0000028	rdfs:label	ru	Крипторхизм	OFFICIAL		DOMAIN_EXPERT	2018-02-01	Originally translated by Alex Raktiko and Artur Latypov on Crowdin
en	Testicular atrophy	HP:0000029	rdfs:label	ru	Атрофия яичек	OFFICIAL		DOMAIN_EXPERT	2018-02-01	Originally translated by Alex Raktiko and Artur Latypov on Crowdin
en	Testicular gonadoblastoma	HP:0000030	rdfs:label	ru	Тестикулярная гонадобластома	OFFICIAL		DOMAIN_EXPERT	2018-02-01	Originally translated by Alex Raktiko and Artur Latypov on Crowdin
en	Epididymitis	HP:0000031	rdfs:label	ru	Эпидидимит	OFFICIAL		DOMAIN_EXPERT	2018-02-01	Originally translated by Alex Raktiko and Artur Latypov on Crowdin
en	Abnormal male external genitalia morphology	HP:0000032	rdfs:label	ru	Аномалия строения наружных половых органов у мужчин	CANDIDATE	anthropic:claude-sonnet-5	ALGORITHM	2026-09-24	claude-sonnet-5
en	Ambiguous genitalia, male	HP:0000033	rdfs:label	ru	Неоднозначные половые органы, мужские	OFFICIAL		DOMAIN_EXPERT	2018-02-01	Originally translated by Alex Raktiko and Artur Latypov on Crowdin
en	Hydrocele testis	HP:0000034	rdfs:label	ru	Водянка яичка	OFFICIAL		DOMAIN_EXPERT	2018-02-01	Originally translated by Alex Raktiko and Artur Latypov on Crowdin
en	Abnormal testis morphology	HP:0000035	rdfs:label	ru	Аномалия яичка	OFFICIAL		DOMAIN_EXPERT	2018-02-01	Originally translated by Alex Raktiko and Artur Latypov on Crowdin
en	Abnormal penis morphology	HP:0000036	rdfs:label	ru	Аномалии полового члена	OFFICIAL		DOMAIN_EXPERT	2018-02-01	Originally translated by Alex Raktiko and Artur Latypov on Crowdin
en	Male pseudohermaphroditism	HP:0000037	rdfs:label	ru	Мужской псевдогермафродитизм	OFFICIAL		DOMAIN_EXPERT	2018-02-01	Originally translated by Alex Raktiko and Artur Latypov on Crowdin
en	Epispadias	HP:0000039	rdfs:label	ru	Эписпадия	OFFICIAL		DOMAIN_EXPERT	2018-02-01	Originally translated by Alex Raktiko and Artur Latypov on Crowdin
en	Long penis	HP:0000040	rdfs:label	ru	Длинный пенис	OFFICIAL		DOMAIN_EXPERT	2018-02-01	Originally translated by Alex Raktiko and Artur Latypov on Crowdin
en	Chordee	HP:0000041	rdfs:label	ru	искривление полового члена; болезненная эрекция полового члена (при гонорее или болезни Пейрони); искривление головки полового члена вверх или вниз (не путать с болезнью Пейрони, при которой происходит искривление кавернозных тел Emin83); болезненная эрекция с искривлением пениса (oVoD); вентральное искривление полового члена (oVoD)	OFFICIAL		DOMAIN_EXPERT	2018-02-01	Originally translated by Alex Raktiko and Artur Latypov on Crowdin
en	Absent external genitalia	HP:0000042	rdfs:label	ru	Отсутствие наружных половых органов	OFFICIAL		DOMAIN_EXPERT	2018-02-01	Originally translated by Alex Raktiko and Artur Latypov on Crowdin
en	Hypogonadotropic hypogonadism	HP:0000044	rdfs:label	ru	Гипогонадотропный гипогонадизм	OFFICIAL		DOMAIN_EXPERT	2018-02-01	Originally translated by Alex Raktiko and Artur Latypov on Crowdin
en	Abnormal scrotum morphology	HP:0000045	rdfs:label	ru	Аномалия строения мошонки	CANDIDATE	anthropic:claude-sonnet-5	ALGORITHM	2026-09-24	claude-sonnet-5
en	Small scrotum	HP:0000046	rdfs:label	ru	Гипоплазия мошонки	OFFICIAL		DOMAIN_EXPERT	2018-02-01	Originally translated by Alex Raktiko and Artur Latypov on Crowdin
en	Hypospadias	HP:0000047	rdfs:label	ru	Гипоспадия	OFFICIAL		DOMAIN_EXPERT	2018-02-01	Originally translated by Alex Raktiko and Artur Latypov on Crowdin
en	Bifid scrotum	HP:0000048	rdfs:label	ru	Раздвоение мошонки	OFFICIAL		DOMAIN_EXPERT	2018-02-01	Originally translated by Alex Raktiko and Artur Latypov on Crowdin
en	Shawl scrotum	HP:0000049	rdfs:label	ru	Шалевидная мошонка	OFFICIAL		DOMAIN_EXPERT	2018-02-01	Originally translated by Alex Raktiko and Artur Latypov on Crowdin
en	Hypoplastic male external genitalia	HP:0000050	rdfs:label	ru	Гипоплазия мужских наружных половых органов	OFFICIAL		DOMAIN_EXPERT	2018-02-01	Originally translated by Alex Raktiko and Artur Latypov on Crowdin
en	Perineal hypospadias	HP:0000051	rdfs:label	ru	Промежностная гипоспадия	OFFICIAL		DOMAIN_EXPERT	2018-02-01	Originally translated by Alex Raktiko and Artur Latypov on Crowdin
en	Urethral atresia, male	HP:0000052	rdfs:label	ru	Атрезия уретры у мужчин	OFFICIAL		DOMAIN_EXPERT	2018-02-01	Originally translated by Alex Raktiko and Artur Latypov on Crowdin
en	Macroorchidism	HP:0000053	rdfs:label	ru	Макроорхидизм	OFFICIAL		DOMAIN_EXPERT	2018-02-01	Originally translated by Alex Raktiko and Artur Latypov on Crowdin
en	Micropenis	HP:0000054	rdfs:label	ru	Микропенис	OFFICIAL		DOMAIN_EXPERT	2018-02-01	Originally translated by Alex Raktiko and Artur Latypov on Crowdin
en	Abnormal female external genitalia morphology	HP:0000055	rdfs:label	ru	Аномалия строения наружных половых органов у женщин	CANDIDATE	anthropic:claude-sonnet-5	ALGORITHM	2026-09-24	claude-sonnet-5
en	Abnormal clitoris morphology	HP:0000056	rdfs:label	ru	Аномалия строения клитора	CANDIDATE	anthropic:claude-sonnet-5	ALGORITHM	2026-09-24	claude-sonnet-5
en	Abnormal labia morphology	HP:0000058	rdfs:label	ru	Аномалии половых губ	OFFICIAL		DOMAIN_EXPERT	2018-02-01	Originally translated by Alex Raktiko and Artur Latypov on Crowdin
en	Hypoplastic labia majora	HP:0000059	rdfs:label	ru	Гипоплазия больших половых губ	OFFICIAL		DOMAIN_EXPERT	2018-02-01	Originally translated by Alex Raktiko and Artur Latypov on Crowdin
en	Clitoral hypoplasia	HP:0000060	rdfs:label	ru	Гипоплазия клитора	OFFICIAL		DOMAIN_EXPERT	2018-02-01	Originally translated by Alex Raktiko and Artur Latypov on Crowdin
en	Ambiguous genitalia, female	HP:0000061	rdfs:label	ru	Неоднозначные гениталии у женщин	OFFICIAL		DOMAIN_EXPERT	2018-02-01	Originally translated by Alex Raktiko and Artur Latypov on Crowdin
en	Ambiguous genitalia	HP:0000062	rdfs:label	ru	Неоднозначные половые органы	OFFICIAL		DOMAIN_EXPERT	2018-02-01	Originally translated by Alex Raktiko and Artur Latypov on Crowdin
en	Fused labia minora	HP:0000063	rdfs:label	ru	Слияние (сращение) малых половых губ	OFFICIAL		DOMAIN_EXPERT	2018-02-01	Originally translated by Alex Raktiko and Artur Latypov on Crowdin
en	Hypoplastic labia minora	HP:0000064	rdfs:label	ru	Гипоплазия малых половых губ	OFFICIAL		DOMAIN_EXPERT	2018-02-01	Originally translated by Alex Raktiko and Artur Latypov on Crowdin
en	Labial hypertrophy	HP:0000065	rdfs:label	ru	Гипертрофия половых губ	OFFICIAL		DOMAIN_EXPERT	2018-02-01	Originally translated by Alex Raktiko and Artur Latypov on Crowdin
en	Labial hypoplasia	HP:0000066	rdfs:label	ru	Гипоплазия половых губ	OFFICIAL		DOMAIN_EXPERT	2018-02-01	Originally translated by Alex Raktiko and Artur Latypov on Crowdin
en	Urethral atresia, female	HP:0000067	rdfs:label	ru	Атрезия уретры у женщин	OFFICIAL		DOMAIN_EXPERT	2018-02-01	Originally translated by Alex Raktiko and Artur Latypov on Crowdin
en	Urethral atresia	HP:0000068	rdfs:label	ru	Атрезия уретры	OFFICIAL		DOMAIN_EXPERT	2018-02-01	Originally translated by Alex Raktiko and Artur Latypov on Crowdin
